premise,entailment,contradiction,ent_score,contra_score,margin
Two women are embracing while holding to go packages.,Two woman are holding packages.,The men are fighting outside a deli.,0.761516,0.074186,0.687330
"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in numbered jerseys wash their hands.,Two kids in jackets walk to school.,0.727639,0.330629,0.397010
A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer.,A woman drinks her coffee in a small cafe.,0.783048,-0.018999,0.802047
"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys play football,dog eats out of bowl,0.803669,-0.003865,0.807534
A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a blue shirt,A man is wearing a black shirt,0.599873,0.299173,0.300700
"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller of a plane.,A child is playing with a ball.,0.713606,0.411280,0.302325
A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel.,A woman is fixing her home.,0.710627,0.226836,0.483791
Two men on bicycles competing in a race.,People are riding bikes.,A few people are catching fish.,0.597135,0.105561,0.491574
A young boy in a field of flowers carrying a ball,boy in field,dog in pool,0.673901,0.096250,0.577651
A senior is waiting at the window of a restaurant that serves sandwiches.,A person waits to be served his food.,A man is waiting in line for the bus.,0.653497,0.331419,0.322079
"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A person in a suit,Nobody has a suit,0.384895,0.213720,0.171175
Two women having drinks and smoking cigarettes at the bar.,Two women are at a bar.,Three women are at a bar.,0.789630,0.667011,0.122620
Two doctors perform surgery on patient.,Doctors are performing surgery.,Two surgeons are having lunch.,0.866747,0.692200,0.174546
A white dog with long hair jumps to catch a red and green toy.,An animal is jumping to catch an object.,A white dog with long hair is swimming underwater.,0.697522,0.483514,0.214008
Kids are on a amusement ride.,Kids ride an amusement ride.,A car is broke down on the side of the road.,0.979381,-0.025175,1.004556
A man in a black shirt is playing golf outside.,The man wearing the black shirt plays a game of golf.,The man in the black shirt trades Pokemon cards with his girlfriend.,0.939988,0.278866,0.661122
A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a guy laughs while doing laundry,two ladies pin clothes to dry,0.654273,0.195667,0.458606
An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing her laundry in a lake.,An Indian woman is putting her laundry into the machine.,0.782391,0.536514,0.245877
A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The man stumbles stumbles in rollerskates.,They are driving cars.,0.632725,0.081355,0.551369
A group of onlookers glance at a person doing a strange trick on her head.,People watch another person do a trick.,A boy does a card trick.,0.689388,0.182180,0.507208
